# Cosmological parameters
# z 0.698
# name challenge
# H0 67.6
# Omega_k 0.0
# Omega_b 0.048142572038794164
# Omega_c 0.26044573456811737
# Omega_m 0.31000006214536036
# Omega_de 0.6899208700952628
# Omega_nu 0.0014117555384487999
# N_eff 3.0460000000000003
# mass_neutrinos 0.06
# n_s 0.97
# A_s 2.0406217009089533e-09
# H_z 100.45460166117748
# D_A 1517.5344595980187
# D_M 2576.7735123974358
# D_H 2984.357640590399
# D_V 2400.414611059186
# r_drag 147.7846253725727
# DM_rd 17.436005307732493
# DH_rd 20.193965597345997
# DV_rd 16.242654504875702
# sigma8 0.559387924199009
# fsigma_8 0.45618676272046316
# f 0.8155105660775209
# 
# k[h/Mpc]  P_lin(k)
1.05e-05    22.279622738676753
1.0582751204153106e-05    22.449921474268486
1.0666154576095624e-05    22.62152192201174
1.0750215255605631e-05    22.79443403171563
1.0834938422968154e-05    22.968667829240573
1.092032929929438e-05    23.14423341708004
1.1006393146843435e-05    23.32114097494511
1.1093135269346655e-05    23.49940076035625
1.118056101233444e-05    23.679023109237086
1.1268675763465675e-05    23.86001843651339
1.1357484952859742e-05    24.042397236717775
1.1446994053431166e-05    24.226170084597623
1.153720858122687e-05    24.411347635687186
1.1628134095766115e-05    24.597940624752262
1.1719776200383111e-05    24.785959865243065
1.1812140542572315e-05    24.97541625286284
1.1905232814336468e-05    25.166320766458757
1.1999058752537366e-05    25.358684468656538
1.2093624139249399e-05    25.552518506497456
1.2188934802115873e-05    25.747834112082042
1.2284996614708141e-05    25.944642603217954
1.2381815496887565e-05    26.14295538407303
1.247939741517033e-05    26.342783945832924
1.2577748383095143e-05    26.544139867363914
1.2676874461593802e-05    26.74703481588101
1.2776781759364725e-05    26.95148054834095
1.287747643324938e-05    27.15748891839198
1.2978964688611728e-05    27.36507187421628
1.3081252779720611e-05    27.5742414554699
1.3184347010135188e-05    27.785009793941633
1.328825373309339e-05    27.9973891142593
1.3392979351903437e-05    28.211391734600912
1.3498530320338459e-05    28.427030067411412
1.3604913143034196e-05    28.64431662012484
1.3712134375889864e-05    28.86326399589252
1.3820200626472158e-05    29.083884894316295
1.3929118554422455e-05    29.306192112187407
1.4038894871867203e-05    29.530198544230956
1.4149536343831574e-05    29.755917182673528
1.4261049788656358e-05    29.98336111552727
1.4373442078418141e-05    30.212543530170535
1.4486720139352811e-05    30.443477714780958
1.4600890952282385e-05    30.67617705910562
1.4715961553045204e-05    30.91065505523858
1.483193903292952e-05    31.14692529840195
1.494883053911051e-05    31.385001487734904
1.5066643275090714e-05    31.624897427087895
1.5185384501143958e-05    31.86662702582261
1.5305061534762776e-05    32.11020429961905
1.542568175110935e-05    32.35564337128782
1.554725258347001e-05    32.60295847161489
1.566978152371331e-05    32.85216394086265
1.579327612275173e-05    33.10327422969827
1.591774399100699e-05    33.356303899318455
1.6043192798879057e-05    33.61126762225698
1.616963027721884e-05    33.86818018323584
1.6297064217804594e-05    34.12705648002355
1.6425502473822102e-05    34.38791152429971
1.6554952960348637e-05    34.65076044252619
1.6685423654840725e-05    34.915618476825436
1.6816922597625754e-05    35.182500985864515
1.6949457892397484e-05    35.451423445747196
1.708303770671541e-05    35.722401450911846
1.7217670272508142e-05    35.99545071320999
1.735336388658064e-05    36.27058705246296
1.749012691112555e-05    36.547826404193515
1.7627967774238534e-05    36.827184825319314
