# Cosmological parameters
# z 0.56
# name nseries
# H0 70.0
# Omega_k 0.0
# Omega_b 0.047
# Omega_c 0.23900000000000005
# Omega_m 0.2860000000000001
# Omega_de 0.7139146242997069
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.14681e-09
# H_z 93.91994797458759
# D_A 1341.4585487050722
# D_M 2092.6753359799127
# D_H 3191.9998303354723
# D_V 1985.5684620953912
# r_drag 147.15240140926014
# DM_rd 14.221142950700246
# DH_rd 21.691795714960065
# DV_rd 13.493279369414637
# sigma8 0.6190097729325262
# fsigma_8 0.4689022847302364
# f 0.7575038476514457
# 
# k[h/Mpc]  P_lin(k)
1.05e-05    33.773637201983625
1.0582751204153106e-05    34.02912067795465
1.0666154576095624e-05    34.286536741517054
1.0750215255605631e-05    34.54590000495402
1.0834938422968154e-05    34.80722519093386
1.092032929929438e-05    35.07052713334321
1.1006393146843435e-05    35.33582077812438
1.1093135269346655e-05    35.60312118412283
1.118056101233444e-05    35.87244352431496
1.1268675763465675e-05    36.143803096986765
1.1357484952859742e-05    36.4172153282211
1.1446994053431166e-05    36.692695761784634
1.153720858122687e-05    36.97026005940627
1.1628134095766115e-05    37.249924001674025
1.1719776200383111e-05    37.531703488942036
1.1812140542572315e-05    37.81561454223983
1.1905232814336468e-05    38.10167330419401
1.1999058752537366e-05    38.389896039951886
1.2093624139249399e-05    38.68029913811569
1.2188934802115873e-05    38.972899111683006
1.2284996614708141e-05    39.26771259899212
1.2381815496887565e-05    39.564756359727255
1.247939741517033e-05    39.86404724844481
1.2577748383095143e-05    40.16560223389456
1.2676874461593802e-05    40.469438412457365
1.2776781759364725e-05    40.77557300913312
1.287747643324938e-05    41.084023378501094
1.2978964688611728e-05    41.39480700569249
1.3081252779720611e-05    41.70794150736326
1.3184347010135188e-05    42.0234446326809
1.328825373309339e-05    42.3413342643133
1.3392979351903437e-05    42.66162841942847
1.3498530320338459e-05    42.98434525070003
1.3604913143034196e-05    43.309503047439605
1.3712134375889864e-05    43.63712025528803
1.3820200626472158e-05    43.96721549829693
1.3929118554422455e-05    44.29980754681174
1.4038894871867203e-05    44.63491531377953
1.4149536343831574e-05    44.972557855836655
1.4261049788656358e-05    45.31275437440399
1.4373442078418141e-05    45.65552421679508
1.4486720139352811e-05    46.00088687732616
1.4600890952282385e-05    46.348861998439524
1.4715961553045204e-05    46.699469371834425
1.483193903292952e-05    47.05272893960636
1.494883053911051e-05    47.40866079539466
1.5066643275090714e-05    47.767285183945695
1.5185384501143958e-05    48.12862248070205
1.5305061534762776e-05    48.492693197914114
1.542568175110935e-05    48.859518002337445
1.554725258347001e-05    49.22911771681557
1.566978152371331e-05    49.601513321457496
1.579327612275173e-05    49.9767259548233
1.591774399100699e-05    50.35477691511943
1.6043192798879057e-05    50.73568766140062
1.616963027721884e-05    51.11947981478478
1.6297064217804594e-05    51.50617515967402
1.6425502473822102e-05    51.89579564498597
1.6554952960348637e-05    52.28836338539291
1.6685423654840725e-05    52.683900661180296
1.6816922597625754e-05    53.08242991512673
1.6949457892397484e-05    53.48397375785411
1.708303770671541e-05    53.88855497053061
1.7217670272508142e-05    54.29619650615379
1.735336388658064e-05    54.70692149084175
1.749012691112555e-05    55.12075322513552
1.7627967774238534e-05    55.53771518531184
1.7766894970437622e-05    55.95783102470272
1.7906917061186715e-05    56.381124575029936
1.8048042675423193e-05    56.80761984774276
1.8190280510089664e-05    57.23734103537254
1.8333639330669926e-05    57.67031251344827
1.8478127971729135e-05    58.10655886637173
1.862375533745826e-05    58.546104899363684
1.877053040222279e-05    58.98897560864527
1.891846221111578e-05    59.435196180387166
1.9067559880515297e-05    59.88479199215768
1.9217832598646165e-05    60.33778861438539
1.9369289626146244e-05    60.79421181183019
1.952194029663709e-05    61.25408754506998
1.9675794017299166e-05    61.717441971992905
1.9830860269451546e-05    62.184301449306105
1.9987148609136224e-05    62.65469253405275
2.0144668667707002e-05    63.12864198514379
2.0303430152423015e-05    63.60617675815308
2.046344284704697e-05    64.08732395626798
2.0624716612448056e-05    64.57211085845418
2.0787261387209646e-05    65.06056494872102
2.095108718824174e-05    65.55271391786748
2.1116204111398287e-05    66.04858566502877
2.1282622332099337e-05    66.54820829923598
2.1450352105958102e-05    67.05161014098584
2.1619403769412976e-05    67.55881972382325
2.1789787740364513e-05    68.06986579593497
2.1961514518817446e-05    68.58477732175551
2.2134594687527743e-05    69.10358348358379
2.2309038912654782e-05    69.62631368325243
2.2484857944418657e-05    70.1529975628052
2.2662062617762677e-05    70.68366503793344
2.2840663853021055e-05    71.21834625907475
2.3020672656591902e-05    71.75707160520057
2.320210012161547e-05    72.29987168555238
2.3384957428657818e-05    72.8467773413881
2.356925584639978e-05    73.39781964774723
2.3755006732331424e-05    73.9530299152271
