# Cosmological parameters
# z 0.56
# name challenge
# H0 67.6
# Omega_k 0.0
# Omega_b 0.048142572038794164
# Omega_c 0.26044573456811737
# Omega_m 0.31000006214536036
# Omega_de 0.6899208700952628
# Omega_nu 0.0014117555384487999
# N_eff 3.0460000000000003
# mass_neutrinos 0.06
# n_s 0.97
# A_s 2.0406217009089533e-09
# H_z 92.37432350363785
# D_A 1376.3884125628872
# D_M 2147.165923598104
# D_H 3245.4089689565485
# D_V 2031.0918199880045
# r_drag 147.7846253725727
# DM_rd 14.529020987027492
# DH_rd 21.960396494389755
# DV_rd 13.743593522448746
# sigma8 0.5983090348782009
# fsigma_8 0.4651622731152322
# f 0.7774615558160949
# 
# k[h/Mpc]  P_lin(k)
1.05e-05    25.500407772221436
1.0582751204153106e-05    25.6953245715855
1.0666154576095624e-05    25.891731262386095
1.0750215255605631e-05    26.089639238641023
1.0834938422968154e-05    26.289059981590793
1.092032929929438e-05    26.490005060367107
1.1006393146843435e-05    26.69248613266693
1.1093135269346655e-05    26.896514945431242
1.118056101233444e-05    27.102103335529463
1.1268675763465675e-05    27.309263230448835
1.1357484952859742e-05    27.518006648988887
1.1446994053431166e-05    27.728345701962425
1.153720858122687e-05    27.94029259273386
1.1628134095766115e-05    28.153859609112278
1.1719776200383111e-05    28.369059119323424
1.1812140542572315e-05    28.58590358466392
1.1905232814336468e-05    28.804405561281403
1.1999058752537366e-05    29.024577700894397
1.2093624139249399e-05    29.246432751515922
1.2188934802115873e-05    29.469983558183305
1.2284996614708141e-05    29.695243063693766
1.2381815496887565e-05    29.92222430934475
1.247939741517033e-05    30.150940435680816
1.2577748383095143e-05    30.381404683244924
1.2676874461593802e-05    30.61363039333689
1.2776781759364725e-05    30.847631011313084
1.287747643324938e-05    31.083420109448095
1.2978964688611728e-05    31.321011377702792
1.3081252779720611e-05    31.56041861130056
1.3184347010135188e-05    31.801655711391778
1.328825373309339e-05    32.044736685870724
1.3392979351903437e-05    32.28967565020062
1.3498530320338459e-05    32.53648682824089
1.3604913143034196e-05    32.78518455308623
1.3712134375889864e-05    33.03578326790689
1.3820200626472158e-05    33.28829752679991
1.3929118554422455e-05    33.54274199564401
1.4038894871867203e-05    33.79913145295649
1.4149536343831574e-05    34.05748077971923
1.4261049788656358e-05    34.31780493716964
1.4373442078418141e-05    34.58011899400113
1.4486720139352811e-05    34.84443813346955
1.4600890952282385e-05    35.110777654257184
1.4715961553045204e-05    35.37915297134762
1.483193903292952e-05    35.649579616903175
1.494883053911051e-05    35.92207324115167
1.5066643275090714e-05    36.19664961327859
1.5185384501143958e-05    36.47332462232583
1.5305061534762776e-05    36.752114278098155
1.542568175110935e-05    37.033034712075086
1.554725258347001e-05    37.31610217926869
1.566978152371331e-05    37.601333084055355
1.579327612275173e-05    37.88874398462537
1.591774399100699e-05    38.178351567738666
1.6043192798879057e-05    38.47017264828213
1.616963027721884e-05    38.76422417025667
1.6297064217804594e-05    39.06052320777448
1.6425502473822102e-05    39.3590869660624
1.6554952960348637e-05    39.659932782472566
1.6685423654840725e-05    39.96307812750359
1.6816922597625754e-05    40.26854060582643
1.6949457892397484e-05    40.5763379573202
1.708303770671541e-05    40.886488058115575
1.7217670272508142e-05    41.1990089171072
1.735336388658064e-05    41.513918651282545
1.749012691112555e-05    41.83123550371613
1.7627967774238534e-05    42.150977856495025
1.7766894970437622e-05    42.47316423181111
1.7906917061186715e-05    42.79781329302393
1.8048042675423193e-05    43.12494384573457
1.8190280510089664e-05    43.454574838866414
1.8333639330669926e-05    43.78672536575356
1.8478127971729135e-05    44.121414665239236
1.862375533745826e-05    44.45866212278062
1.877053040222279e-05    44.79848727156247
1.891846221111578e-05    45.14090979364116
1.9067559880515297e-05    45.485949525088856
1.9217832598646165e-05    45.83362646208806
1.9369289626146244e-05    46.18396075466428
1.952194029663709e-05    46.536972706710735
1.9675794017299166e-05    46.892682777160786
1.9830860269451546e-05    47.251111581170875
1.9987148609136224e-05    47.61227989131274
2.0144668667707002e-05    47.97620863877457
2.0303430152423015e-05    48.342918914570625
2.046344284704697e-05    48.71243197076074
2.0624716612448056e-05    49.084769221678584
2.0787261387209646e-05    49.45995224517075
2.095108718824174e-05    49.83800278477494
2.1116204111398287e-05    50.218942765315816
2.1282622332099337e-05    50.60279429186009
2.1450352105958102e-05    50.98957963928272
2.1619403769412976e-05    51.37932125321601
2.1789787740364513e-05    51.77204175136431
